image_file,x1,y1,x2,y2,paddle_raw,paddle_normalized,matching paddle,tflite_raw,tflite_normalized,matching tflite,GT,paddle_latency_ms,tflite_latency_ms
Grill_Temperature_in_Thermometer-1015846030.jpeg,341.0,626.0,538.0,762.0,79,7.9°C,3,798,12.9°C,3,7.9,2806.76,574.46
Grill_Temperature_in_Thermometer-1042559014.jpeg,442.0,938.0,606.0,1014.0,152,15.2°C,1,152,12.9°C,1,15.2,574.58,548.18
Grill_Temperature_in_Thermometer-1045771791.jpeg,177.0,438.0,412.0,612.0,F927,27.9°F,0,6,6.0°C,3,12.6,578.35,539.58
Grill_Temperature_in_Thermometer-1046487470.jpeg,309.0,336.0,416.0,419.0,4S,4.5°C,0,4,4.0°C,3,14.5,545.33,516.34
Grill_Temperature_in_Thermometer-1047259307.jpeg,345.0,251.0,518.0,319.0,13.1,13.1°C,1,13a1,13.1°C,2,13.1,578.85,580.65
Grill_Temperature_in_Thermometer-1063212771.jpeg,374.0,492.0,527.0,749.0,,"nan 


Please provide the actual OCR output so I can try to extract the temperature.",0,0,0.0°C,3,12.7,1107.0,536.69
Grill_Temperature_in_Thermometer-1080551524.jpeg,180.0,435.0,408.0,551.0,978,9.78°C,2,97,9.7°C,1,9.7,575.55,544.54
Grill_Temperature_in_Thermometer-1081361434.jpeg,334.0,518.0,425.0,566.0,12.72,12.72 °C,1,127,12.9°C,1,12.7,585.35,579.72
Grill_Temperature_in_Thermometer-1111045705.jpeg,422.0,736.0,521.0,786.0,1,Please provide the OCR output so I can extract the temperature.,3,17,17.0°C,3,1.7/1.1,781.34,577.11
Grill_Temperature_in_Thermometer-1118931302.jpeg,894.0,452.0,1090.0,532.0,461,46.1°C,3,1461,14.61°C,1,14.6,547.28,615.8
Grill_Temperature_in_Thermometer-1176432793.jpeg,625.0,300.0,800.0,388.0,73hm,73.0°C,0,2376,23.76°C,2,23.6,578.48,612.88
Grill_Temperature_in_Thermometer-1186094681.jpeg,648.0,548.0,762.0,594.0,113,11.3°C,1,13,13.0°C,3,11.3,547.11,579.18
Grill_Temperature_in_Thermometer-1198870400.jpeg,,,,,,"Please provide the OCR output so I can try to extract the temperature. 

For example, if the OCR output is ""129"", I will understand it as ""12.9°C"" and output that.",0,no_box,Please provide the OCR output so I can extract the temperature. 😊,0,8.5,2124.26,815.99
Grill_Temperature_in_Thermometer-1198870409.jpeg,728.0,482.0,825.0,510.0,138,13.8°C,1,1380a,13.80°C,0,13.8,570.84,583.6
Grill_Temperature_in_Thermometer-1225355534.jpeg,655.0,708.0,816.0,1046.0,E,Please provide the OCR output. I need the text you want me to process to extract the temperature.,0,,Please provide the OCR output so I can extract the temperature.,0,13.9,1071.77,774.98
Grill_Temperature_in_Thermometer-1225355543.jpeg,577.0,803.0,747.0,1165.0,,"Please provide the OCR output so I can try to extract the temperature. 

For example, if the OCR output is ""n an"", I will tell you ""nan"".  If it is ""129"", I will tell you ""12.9°C"". 


I'm ready!",0,0,0.0°C,3,13.9,2679.5,539.2
Grill_Temperature_in_Thermometer-1265916373.jpeg,227.0,514.0,452.0,617.0,1220,12.9°C,1,12,12.0°C,2,12.2,574.16,580.29
Grill_Temperature_in_Thermometer-1305865263.jpeg,285.0,391.0,357.0,568.0,,"nan 


Please provide me with the actual OCR output so I can try to extract the temperature.",0,64,6.4°C,0,9.2,1032.29,538.58
Grill_Temperature_in_Thermometer-1312459563.jpeg,444.0,455.0,571.0,514.0,10.5,10.5°C,1,105,10.5°C,1,10.5,574.63,552.19
Grill_Temperature_in_Thermometer-1321382067.jpeg,403.0,911.0,485.0,1076.0,E,Please provide the OCR output so I can extract the temperature.,0,,Please provide the OCR output so I can extract the temperature.,0,11.7,794.78,813.72
Grill_Temperature_in_Thermometer-1423575693.jpeg,242.0,585.0,337.0,740.0,8,8.0°C,3,6,6.0°C,3,16.4,533.71,526.14
Grill_Temperature_in_Thermometer-1426325007.jpeg,417.0,163.0,476.0,207.0,33,33.0°C,3,139,13.9°C,2,13.3,576.79,579.08
Grill_Temperature_in_Thermometer-1456909284.jpeg,225.0,377.0,394.0,452.0,15.2,15.2°C,1,1523,15.23 °C,1,15.2,568.49,594.21
Grill_Temperature_in_Thermometer-1501156010.jpeg,466.0,600.0,534.0,626.0,P,Please provide the OCR output so I can extract the temperature.,3,1210,12.1°C,3,12.1,788.78,576.1
Grill_Temperature_in_Thermometer-1522914945.jpeg,626.0,607.0,703.0,639.0,24,24.0°C,0,107,10.7°C,3,10.7,555.8,579.19
Grill_Temperature_in_Thermometer-1559027672.jpeg,326.0,385.0,440.0,428.0,102,10.2°C,1,102a,10.2 °C,1,10.2,579.99,580.21
Grill_Temperature_in_Thermometer-1559027681.jpeg,398.0,578.0,509.0,655.0,L25,25.0°C,0,1259,12.9°C,2,12.5,555.19,581.34
Grill_Temperature_in_Thermometer-1569872897.jpeg,871.0,466.0,957.0,499.0,OE,10.0°C,3,101,10.1°C,3,10.1,582.78,580.68
Grill_Temperature_in_Thermometer-157513757.jpeg,401.0,666.0,486.0,725.0,9,9.0°C,3,89,8.9°C,3,8.9,516.73,548.98
